CURVE,X,Y
4160,80,38.2
4160,120,57.4
4160,130,62.1
4160,170,81.3
4160,180,86
4160,220,105.2
4160,230,109.9
4160,270,129.1
4160,280,133.8
4160,290,138.6
4160,299,142.9
3110,0,0.5
3110,1,0.5
3110,10,4.8
3110,20,9.6
3110,30,14.3
3110,70,33.5
3110,80,38.2
3110,120,57.4
3110,130,62.1
3110,170,81.3
3110,180,86
3110,220,105.2
3110,230,109.9
3110,270,129.1
3110,280,133.8
3110,290,138.6
3110,299,142.9
4078,0,0.5
4078,1,0.5
4078,10,4.8
4078,20,9.6
4078,30,14.3
4078,70,33.5
4078,80,38.2
4078,120,57.4
4078,130,62.1
4078,170,81.3
4078,180,86
4078,220,105.2
4078,230,109.9
4078,270,129.1
4078,280,133.8
4078,290,138.6
4078,299,142.9
800,0,0.5
800,1,0.5
800,10,4.8
800,20,9.6
800,30,14.3
800,70,33.5
800,80,38.2
800,120,57.4
800,130,62.1
800,170,81.3
800,180,86
800,220,105.2
800,230,109.9
800,270,129.1
800,280,133.8
800,290,138.6
800,299,142.9
779,0,0.5
779,1,0.5
779,10,4.8
779,20,9.6
779,30,14.3
779,70,33.5
779,80,38.2
779,120,57.4
779,130,62.1
779,170,81.3
779,180,86
779,220,105.2
779,230,109.9
779,270,129.1
779,280,133.8
779,290,138.6
779,299,142.9
